perturb,severity,task_idx,task,rollout,success,steps,jerk
noise,4,6,butter,0,0,400,0.03848
noise,4,6,butter,1,0,400,0.04299
noise,4,6,butter,2,0,400,0.03902
noise,4,6,butter,3,0,400,0.0408
noise,4,6,butter,4,0,400,0.03936
noise,4,6,butter,5,0,400,0.04004
noise,4,6,butter,6,0,400,0.04099
noise,4,6,butter,7,0,400,0.04356
noise,4,6,butter,8,0,400,0.04385
noise,4,6,butter,9,0,400,0.04079
noise,4,7,milk,0,0,400,0.0475
noise,4,7,milk,1,0,400,0.04929
noise,4,7,milk,2,0,400,0.04655
noise,4,7,milk,3,0,400,0.04579
noise,4,7,milk,4,0,400,0.04543
noise,4,7,milk,5,0,400,0.04529
noise,4,7,milk,6,0,400,0.04489
noise,4,7,milk,7,0,400,0.04631
noise,4,7,milk,8,0,400,0.04699
noise,4,7,milk,9,0,400,0.0469
noise,4,8,chocolate_pudding,0,0,400,0.04586
noise,4,8,chocolate_pudding,1,0,400,0.03532
noise,4,8,chocolate_pudding,2,0,400,0.04377
noise,4,8,chocolate_pudding,3,0,400,0.04644
noise,4,8,chocolate_pudding,4,0,400,0.04416
noise,4,8,chocolate_pudding,5,0,400,0.03405
noise,4,8,chocolate_pudding,6,0,400,0.03502
noise,4,8,chocolate_pudding,7,0,400,0.04303
noise,4,8,chocolate_pudding,8,0,400,0.03611
noise,4,8,chocolate_pudding,9,0,400,0.04662
noise,4,9,orange_juice,0,0,400,0.04189
noise,4,9,orange_juice,1,0,400,0.04022
noise,4,9,orange_juice,2,0,400,0.04089
noise,4,9,orange_juice,3,0,400,0.03985
noise,4,9,orange_juice,4,0,400,0.04212
noise,4,9,orange_juice,5,0,400,0.03914
noise,4,9,orange_juice,6,0,400,0.04012
noise,4,9,orange_juice,7,0,400,0.04011
noise,4,9,orange_juice,8,0,400,0.04016
noise,4,9,orange_juice,9,0,400,0.04155
noise,5,0,alphabet_soup,0,0,400,0.04203
noise,5,0,alphabet_soup,1,0,400,0.04152
noise,5,0,alphabet_soup,2,0,400,0.04179
noise,5,0,alphabet_soup,3,0,400,0.03902
noise,5,0,alphabet_soup,4,0,400,0.04078
noise,5,0,alphabet_soup,5,0,400,0.03791
